id,last_name,first_name,date_of_birth,gender,place_of_birth,ssn
1,Kirch,Competent,2006-09-20,M,Torino,KRCCPT06P20L219V
2,Khayyam,Jolly,1994-09-18,M,Bari,KHYJLY94P18A662O
3,Volhard,Eager,2017-03-03,F,Palermo,VLHGRE17C43G273A
4,Hellman,Intelligent,1938-12-14,F,Milano,HLLNLL38T54F205W
5,Johnson,Reverent,1942-06-01,M,Cagliari,JHNRRN42A06B354F
6,Davinci,Funny,1982-12-02,M,Bari,DVNFNY82B12A662U
7,Feistel,Nostalgic,2007-09-20,M,Milano,FSTNTL07P20F205Q
8,Moser,Elated,1977-06-03,F,Firenze,MSRLTD77C46D612O
9,Hawking,Objective,2013-07-21,M,Genova,HWKBCT13L21D969W
10,Shamir,Blissful,1995-04-20,M,Sassari,SHMBSS95D20I452B
